Código: 5880 | Descrição: MOE - Infraestrutura-Implantação / Meio-Fio | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6098 | Descrição: MOE - Infraestrutura-Implantação / Passeio em Piso Podotátil | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5881 | Descrição: MOE - Infraestrutura-Implantação / Pavimentação em Blocos Intertravados (Paver) | Unidade: m2 | Preço unitário: 47.27 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5882 | Descrição: MOE - Infraestrutura-Implantação / Plantio de Grama | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5883 | Descrição: MOE - Infraestrutura-Implantação / Quadro Geral de Distribuição | Unidade: un | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6097 | Descrição: MOE - Infraestrutura-Implantação / Rampa em Concreto | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5884 | Descrição: MOE - Infraestrutura-Implantação / Reaterro e Compactação de Valas | Unidade: m3 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5885 | Descrição: MOE - Infraestrutura-Implantação / Rede Água Potável | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5886 | Descrição: MOE - Infraestrutura-Implantação / Rede Drenagem/Águas Pluviais | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6053 | Descrição: MOE - Infraestrutura-Implantação / Rede Elétrica (Acabamentos Elétricos) | Unidade: vb | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6054 | Descrição: MOE - Infraestrutura-Implantação / Rede Elétrica (Caixas de Passagem Elétricas) | Unidade: un | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5888 | Descrição: MOE - Infraestrutura-Implantação / Rede Elétrica e Iluminação (Fiação) | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6055 | Descrição: MOE - Infraestrutura-Implantação / Rede Elétrica (Eletrodutos) | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6056 | Descrição: MOE - Infraestrutura-Implantação / Rede Elétrica (Fiação) | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6057 | Descrição: MOE - Infraestrutura-Implantação / Rede Elétrica (Instalação Postes) | Unidade: un | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6059 | Descrição: MOE - Infraestrutura-Implantação / Rede Elétrica (Luminárias) | Unidade: un | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5887 | Descrição: MOE - Infraestrutura-Implantação / Rede Elétrica (Quadro Geral de Distribuição) | Unidade: un | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5889 | Descrição: MOE - Infraestrutura-Implantação / Rede Esgoto | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6062 | Descrição: MOE - Infraestrutura-Implantação / Rede Gás / Central de Gás | Unidade: vb | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5890 | Descrição: MOE - Infraestrutura-Implantação / Rede Gás (Infraestrutura) | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5891 | Descrição: MOE - Infraestrutura-Implantação / Rede Telefonia (Cabeamento) | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5892 | Descrição: MOE - Infraestrutura-Implantação / Rede Telefonia (Eletrodutos) | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6129 | Descrição: MOE - Instalações Climatização e Exaustão / Exaustão Aquecedores de Passagem | Unidade: un | Preço unitário: 100 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6128 | Descrição: MOE - Instalações Climatização e Exaustão / Exaustão Banheiros | Unidade: un | Preço unitário: 150 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 9595 | Descrição: MOE - Instalações Climatização e Exaustão / Exaustão Cozinhas | Unidade: un | Preço unitário: 0 | Data do preço: 03/07/2025 | Ativo: Sim
Código: 6063 | Descrição: MOE - Instalações Climatização e Exaustão / Instalação de Infraestrutura Ar Condicionado | Unidade: pto | Preço unitário: 270 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5893 | Descrição: MOE - Instalações Elétricas / Acabamentos Elétricos | Unidade: vb | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6064 | Descrição: MOE - Instalações Elétricas / Caixas de Passagem Enterradas | Unidade: un | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5894 | Descrição: MOE - Instalações Elétricas / Elétrica Escadas | Unidade: vb | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5895 | Descrição: MOE - Instalações Elétricas / Eletrodutos e Caixas de Passagem | Unidade: vb | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5896 | Descrição: MOE - Instalações Elétricas / Eletrodutos e Caixas de Passagem / Paredes | Unidade: vb | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5897 | Descrição: MOE - Instalações Elétricas / Eletrodutos e Caixas de Passagem / Paredes (Distribuição) | Unidade: vb | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5898 | Descrição: MOE - Instalações Elétricas / Eletrodutos e Caixas de Passagem / Paredes (Prumadas) | Unidade: vb | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5899 | Descrição: MOE - Instalações Elétricas / Eletrodutos e Caixas de Passagem / Tetos | Unidade: vb | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5900 | Descrição: MOE - Instalações Elétricas / Entrada de Energia | Unidade: vb | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 9656 | Descrição: MOE - Instalações Elétricas / Execução Geral | Unidade: m2 | Preço unitário: 0 | Data do preço: 07/07/2025 | Ativo: Sim
Código: 5901 | Descrição: MOE - Instalações Elétricas / Fiação (Aptos + Circulação) | Unidade: vb | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5902 | Descrição: MOE - Instalações Elétricas / Iluminação Elevador | Unidade: vb | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5903 | Descrição: MOE - Instalações Elétricas / Instalação Bombas Recalque | Unidade: un | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5904 | Descrição: MOE - Instalações Elétricas / Instalação de Gerador, Subestação e/ou Outros Equip. Elétricos | Unidade: vb | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5905 | Descrição: MOE - Instalações Elétricas / Luminárias | Unidade: vb | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6092 | Descrição: MOE - Instalações Elétricas / Luminárias (Circulação) | Unidade: vb | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6065 | Descrição: MOE - Instalações Elétricas / Montagem Quadros Elétricos (Aptos) | Unidade: um | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
