idx_entrada;entrada_descricao;entrada_unidade;codigo_sugerido;descricao_catalogo;unidade_catalogo;score
258;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8102
259;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8096
260;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8067
261;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8169
262;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8034
263;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8177
264;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5400;Tubo PVC Soldavel - 40 mm;m;0.8083
265;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8153
266;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8036
267;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5392;"Tubo PVC Roscavel - 3/4""";m;0.8051
268;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8162
269;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.81
270;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.8774
271;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;5402;Tubo PVC Soldavel - 60 mm;m;0.8598
272;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5400;Tubo PVC Soldavel - 40 mm;m;0.8051
273;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8021
274;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8043
275;Tubo de PVC Rígido Branco, conforme NBR5688, Linha Série Normal;;5402;Tubo PVC Soldavel - 60 mm;m;0.8162
277;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;5402;Tubo PVC Soldavel - 60 mm;m;0.8618
278;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;2932;Bracadeira para Tubo PVC Soldavel - 25 mm;un;0.8652
279;Tubo de PVC Rígido Soldável Marrom, conforme NBR 5648;;5402;Tubo PVC Soldavel - 60 mm;m;0.8789
